episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
0              3.73e+01       1.00e+00       0.90           0              1.00           27.00          1.00           27             1              26             1.61e-03       1.07e-01       2.39e-07       
1              2.27e+01       9.89e-01       0.90           1              1.00           9.00           1.00           9              1              34             1.45e-03       1.47e+00       3.37e-07       
2              2.27e+01       9.77e-01       0.90           0              1.00           25.00          1.00           25             1              58             1.15e-03       2.76e-02       4.30e-07       
3              1.72e+01       9.66e-01       0.90           1              1.00           9.00           1.00           9              1              66             1.09e-03       2.06e+00       3.37e-07       
4              2.62e+01       9.55e-01       0.90           1              1.00           9.00           1.00           9              1              74             1.04e-03       1.93e+00       1.35e-07       
5              1.29e+01       9.44e-01       0.90           0              1.00           11.00          1.00           11             1              84             9.79e-04       1.81e+00       3.25e-07       
6              1.29e+01       9.33e-01       0.90           0              1.00           31.00          1.00           31             1              114            8.53e-04       3.50e-02       2.47e-07       
7              1.40e+01       9.22e-01       0.90           1              1.00           39.00          1.00           39             1              152            7.48e-04       5.54e-01       9.63e-07       
8              1.61e+01       9.12e-01       0.90           1              1.00           15.00          1.00           15             1              166            7.18e-04       1.86e+00       2.19e-07       
9              1.61e+01       9.01e-01       0.90           0              1.00           20.00          1.00           20             1              185            6.83e-04       1.22e-02       2.70e-07       
10             1.22e+01       8.91e-01       0.90           1              1.00           16.00          1.00           16             1              200            6.59e-04       1.40e+00       6.02e-07       
11             1.23e+01       8.81e-01       0.90           0              1.00           13.00          1.00           13             1              212            6.41e-04       2.45e-01       2.67e-07       
12             1.17e+01       8.71e-01       0.90           0              1.00           25.00          1.00           25             1              236            6.10e-04       1.90e+00       4.32e-07       
13             1.16e+01       8.61e-01       0.90           1              1.00           21.00          1.00           21             1              256            5.87e-04       2.75e-01       1.69e-07       
14             1.17e+01       8.51e-01       0.90           1              1.00           27.00          1.00           27             1              282            5.61e-04       6.31e-02       3.63e-07       
15             1.17e+01       8.41e-01       0.90           0              1.00           21.00          1.00           21             1              302            5.43e-04       1.98e-02       2.67e-07       
16             1.03e+01       8.31e-01       0.90           1              1.00           19.00          1.00           19             1              320            5.29e-04       1.57e+00       7.30e-08       
17             1.05e+01       8.22e-01       0.90           0              1.00           10.00          1.00           10             1              329            5.22e-04       1.93e+00       4.30e-07       
18             9.65e+00       8.12e-01       0.90           1              1.00           27.00          1.00           27             1              355            5.03e-04       1.26e+00       2.68e-07       
19             1.07e+01       8.03e-01       0.90           0              1.00           30.00          1.00           30             1              384            4.85e-04       4.41e-01       3.80e-07       
20             1.05e+01       7.94e-01       0.90           0              1.00           18.00          1.00           18             1              401            4.75e-04       3.54e-01       3.48e-07       
21             1.05e+01       7.85e-01       0.90           0              1.00           18.00          1.00           18             1              418            4.66e-04       1.02e-02       1.74e-07       
22             1.11e+01       7.76e-01       0.90           0              1.00           14.00          1.00           14             1              431            4.59e-04       1.26e+00       4.21e-08       
23             1.11e+01       7.67e-01       0.90           0              1.00           28.00          1.00           28             1              458            4.46e-04       2.61e-01       2.42e-07       
24             1.11e+01       7.58e-01       0.90           0              1.00           15.00          1.00           15             1              472            4.40e-04       2.60e-02       1.88e-07       
25             1.11e+01       7.49e-01       0.90           1              1.00           17.00          1.00           17             1              488            4.33e-04       1.11e-02       4.42e-07       
26             1.11e+01       7.41e-01       0.90           1              1.00           14.00          1.00           14             1              501            4.27e-04       7.74e-03       5.40e-07       
27             1.11e+01       7.32e-01       0.90           0              1.00           18.00          1.00           18             1              518            4.20e-04       1.97e-01       1.69e-07       
28             1.11e+01       7.24e-01       0.90           0              1.00           29.00          1.00           29             1              546            4.10e-04       1.39e-02       3.40e-07       
29             1.11e+01       7.16e-01       0.90           0              1.00           33.00          1.00           33             1              578            3.99e-04       1.41e-02       2.70e-07       
30             1.11e+01       7.07e-01       0.90           0              1.00           12.00          1.00           12             1              589            3.95e-04       1.21e-02       2.15e-07       
31             1.02e+01       6.99e-01       0.90           1              1.00           14.00          1.00           14             1              602            3.91e-04       1.43e+00       2.80e-07       
32             1.03e+01       6.91e-01       0.90           0              1.00           30.00          1.00           30             1              631            3.83e-04       7.67e-02       1.46e-07       
33             1.15e+01       6.83e-01       0.90           1              1.00           14.00          1.00           14             1              644            3.79e-04       9.32e-01       2.70e-07       
34             1.16e+01       6.75e-01       0.90           0              1.00           12.00          1.00           12             1              655            3.76e-04       8.03e-02       2.42e-07       
