SMW INV
episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
0              1.55e+01       1.00e+00       0.90           0              -1.00          -9001.00       -1.00          9001           -1             9000           1.04e-04       9.66e-01       3.17e-06       
1              1.53e+01       9.89e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             18000          7.40e-05       2.11e-01       1.89e-06       
2              1.53e+01       9.77e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             27000          6.05e-05       1.01e-01       3.51e-06       
3              1.54e+01       9.66e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             36000          5.24e-05       5.57e-02       2.22e-06       
4              1.54e+01       9.55e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             45000          4.69e-05       7.04e-02       2.51e-06       
5              1.54e+01       9.44e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             54000          4.28e-05       3.39e-02       5.15e-06       
6              1.54e+01       9.33e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             63000          3.97e-05       2.33e-02       5.28e-06       
7              1.54e+01       9.22e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             72000          3.71e-05       4.31e-02       6.02e-06       
8              1.54e+01       9.12e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             81000          3.50e-05       2.37e-02       5.69e-06       
9              1.54e+01       9.01e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             90000          3.32e-05       2.27e-02       7.17e-06       
10             1.54e+01       8.91e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             99000          3.17e-05       3.14e-02       9.22e-06       
11             1.54e+01       8.81e-01       0.90           0              -1.00          -7076.00       -1.00          7076           1              106075         3.06e-05       2.29e-02       9.37e-06       
12             1.54e+01       8.71e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             115075         2.94e-05       2.10e-02       9.46e-06       
13             1.54e+01       8.61e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             124075         2.83e-05       3.22e-02       7.29e-06       
14             1.53e+01       8.51e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             133075         2.73e-05       1.72e-02       7.55e-06       
15             1.53e+01       8.41e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             142075         2.65e-05       1.37e-02       6.16e-06       
16             1.53e+01       8.31e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             151075         2.57e-05       1.50e-02       8.34e-06       
17             1.53e+01       8.22e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             160075         2.49e-05       1.65e-02       1.08e-05       
18             1.53e+01       8.12e-01       0.90           2              -1.00          -3411.00       -1.00          3411           1              163485         2.47e-05       1.71e-02       1.03e-05       
19             1.52e+01       8.03e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             172485         2.40e-05       2.46e-02       1.44e-05       
20             1.52e+01       7.94e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             181485         2.34e-05       2.36e-02       1.55e-05       
21             1.52e+01       7.85e-01       0.90           0              -1.00          -1522.00       -1.00          1522           1              183006         2.33e-05       4.27e-03       1.42e-05       
22             1.52e+01       7.76e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             192006         2.28e-05       2.29e-02       1.02e-05       
23             1.51e+01       7.67e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             201006         2.23e-05       3.01e-02       1.02e-05       
24             1.51e+01       7.58e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             210006         2.18e-05       3.23e-02       1.30e-05       
25             1.51e+01       7.49e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             219006         2.13e-05       2.29e-02       1.29e-05       
26             1.50e+01       7.41e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             228006         2.09e-05       2.56e-02       1.49e-05       
27             1.50e+01       7.32e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             237006         2.05e-05       2.21e-02       1.94e-05       
28             1.50e+01       7.24e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             246006         2.01e-05       2.71e-02       1.49e-05       
29             1.49e+01       7.16e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             255006         1.98e-05       2.33e-02       1.33e-05       
30             1.49e+01       7.07e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             264006         1.94e-05       3.13e-02       1.66e-05       
31             1.48e+01       6.99e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             273006         1.91e-05       3.36e-02       1.39e-05       
