CAYLEY NOINV
episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
0              1.55e+01       1.00e+00       0.90           0              -1.00          -9001.00       -1.00          9001           -1             9000           1.04e-04       9.66e-01       6.07e-05       
1              1.53e+01       9.89e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             18000          7.40e-05       2.11e-01       1.64e-04       
2              1.53e+01       9.77e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             27000          6.05e-05       1.01e-01       3.05e-04       
3              1.54e+01       9.66e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             36000          5.24e-05       5.57e-02       5.49e-04       
4              1.54e+01       9.55e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             45000          4.69e-05       7.04e-02       7.86e-04       
5              1.54e+01       9.44e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             54000          4.28e-05       3.39e-02       1.31e-03       
6              1.54e+01       9.33e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             63000          3.97e-05       2.35e-02       1.57e-03       
7              1.54e+01       9.22e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             72000          3.71e-05       1.81e-02       2.26e-03       
8              1.54e+01       9.12e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             81000          3.50e-05       4.83e-02       2.51e-03       
9              1.54e+01       9.01e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             90000          3.32e-05       2.49e-02       2.76e-03       
10             1.54e+01       8.91e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             99000          3.17e-05       3.07e-02       3.40e-03       
11             1.54e+01       8.81e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             108000         3.03e-05       1.99e-02       4.35e-03       
12             1.54e+01       8.71e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             117000         2.91e-05       1.91e-02       4.89e-03       
13             1.54e+01       8.61e-01       0.90           2              -1.00          -7586.00       -1.00          7586           1              124585         2.83e-05       2.30e-02       4.92e-03       
14             1.53e+01       8.51e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             133585         2.73e-05       2.19e-02       4.84e-03       
15             1.53e+01       8.41e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             142585         2.64e-05       2.16e-02       4.98e-03       
16             1.53e+01       8.31e-01       0.90           2              -1.00          -7134.00       -1.00          7134           1              149718         2.58e-05       2.48e-02       5.09e-03       
17             1.53e+01       8.22e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             158718         2.50e-05       2.60e-02       5.07e-03       
18             1.52e+01       8.12e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             167718         2.44e-05       4.11e-02       5.07e-03       
19             1.52e+01       8.03e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             176718         2.37e-05       2.30e-02       6.18e-03       
20             1.52e+01       7.94e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             185718         2.32e-05       3.03e-02       6.51e-03       
21             1.51e+01       7.85e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             194718         2.26e-05       2.07e-02       6.24e-03       
22             1.51e+01       7.76e-01       0.90           0              -1.00          -1512.00       -1.00          1512           1              196229         2.25e-05       3.69e-03       6.27e-03       
23             1.51e+01       7.67e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             205229         2.20e-05       2.75e-02       6.64e-03       
24             1.51e+01       7.58e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             214229         2.16e-05       1.66e-02       6.88e-03       
25             1.50e+01       7.49e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             223229         2.11e-05       1.82e-02       7.07e-03       
26             1.50e+01       7.41e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             232229         2.07e-05       2.25e-02       7.15e-03       
27             1.50e+01       7.32e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             241229         2.03e-05       4.16e-02       7.72e-03       
28             1.49e+01       7.24e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             250229         2.00e-05       2.13e-02       7.98e-03       
29             1.49e+01       7.16e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             259229         1.96e-05       2.65e-02       8.53e-03       
30             1.48e+01       7.07e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             268229         1.93e-05       5.23e-02       9.39e-03       
31             1.48e+01       6.99e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             277229         1.90e-05       4.46e-02       1.02e-02       
32             1.47e+01       6.91e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             286229         1.87e-05       3.14e-02       1.13e-02       
33             1.47e+01       6.83e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             295229         1.84e-05       2.42e-02       1.29e-02       
34             1.46e+01       6.75e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             304229         1.81e-05       2.52e-02       1.34e-02       
35             1.46e+01       6.68e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             313229         1.78e-05       4.24e-02       1.40e-02       
36             1.45e+01       6.60e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             322229         1.76e-05       3.87e-02       1.49e-02       
37             1.44e+01       6.52e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             331229         1.73e-05       2.34e-02       1.53e-02       
38             1.44e+01       6.45e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             340229         1.71e-05       2.56e-02       1.59e-02       
39             1.43e+01       6.38e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             349229         1.69e-05       2.50e-02       1.65e-02       
40             1.42e+01       6.30e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             358229         1.67e-05       2.39e-02       1.72e-02       
