ORIGINAL
episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
0              1.88e+01       1.00e+00       0.90           0              -1.00          -9001.00       -1.00          9001           -1             9000           1.04e-04       1.27e+00       1.33e+00       
1              2.01e+01       9.89e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             18000          7.40e-05       4.91e-01       2.69e+00       
2              2.14e+01       9.77e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             27000          6.05e-05       3.85e-01       4.09e+00       
3              2.25e+01       9.66e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             36000          5.24e-05       3.04e-01       5.41e+00       
4              2.36e+01       9.55e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             45000          4.69e-05       2.80e-01       6.74e+00       
5              2.46e+01       9.44e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             54000          4.28e-05       2.40e-01       8.03e+00       
6              2.54e+01       9.33e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             63000          3.97e-05       2.09e-01       9.25e+00       
7              2.61e+01       9.22e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             72000          3.71e-05       1.89e-01       1.04e+01       
8              2.68e+01       9.12e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             81000          3.50e-05       1.70e-01       1.15e+01       
9              2.74e+01       9.01e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             90000          3.32e-05       1.60e-01       1.26e+01       
10             2.80e+01       8.91e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             99000          3.17e-05       1.47e-01       1.37e+01       
11             2.84e+01       8.81e-01       0.90           2              -1.00          -7066.00       -1.00          7066           1              106065         3.06e-05       1.08e-01       1.45e+01       
12             2.89e+01       8.71e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             115065         2.94e-05       1.30e-01       1.55e+01       
13             2.94e+01       8.61e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             124065         2.83e-05       1.23e-01       1.65e+01       
14             2.99e+01       8.51e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             133065         2.73e-05       1.21e-01       1.75e+01       
15             3.03e+01       8.41e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             142065         2.65e-05       1.11e-01       1.84e+01       
16             3.06e+01       8.31e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             151065         2.57e-05       1.11e-01       1.94e+01       
17             3.10e+01       8.22e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             160065         2.49e-05       9.81e-02       2.02e+01       
18             3.12e+01       8.12e-01       0.90           2              -1.00          -3410.00       -1.00          3410           1              163474         2.47e-05       3.68e-02       2.06e+01       
19             3.13e+01       8.03e-01       0.90           0              -1.00          -3273.00       -1.00          3273           1              166746         2.44e-05       3.68e-02       2.09e+01       
20             3.16e+01       7.94e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             175746         2.38e-05       8.92e-02       2.17e+01       
21             3.20e+01       7.85e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             184746         2.32e-05       9.26e-02       2.26e+01       
22             3.23e+01       7.76e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             193746         2.27e-05       8.14e-02       2.33e+01       
23             3.24e+01       7.67e-01       0.90           2              -1.00          -2996.00       -1.00          2996           1              196741         2.25e-05       2.78e-02       2.36e+01       
24             3.26e+01       7.58e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             205741         2.20e-05       7.79e-02       2.44e+01       
25             3.29e+01       7.49e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             214741         2.15e-05       7.61e-02       2.51e+01       
26             3.31e+01       7.41e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             223741         2.11e-05       7.13e-02       2.58e+01       
27             3.34e+01       7.32e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             232741         2.07e-05       7.32e-02       2.66e+01       
28             3.36e+01       7.24e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             241741         2.03e-05       7.26e-02       2.73e+01       
29             3.38e+01       7.16e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             250741         1.99e-05       6.77e-02       2.80e+01       
