PROCRUSTES
episode        sum|w|         eps            gammma         last_action    last_reward    total_reward   avg_reward     num_steps      flag           iter           alpha          |w - w_old|    |w^T w - I|    
0              1.60e+01       1.00e+00       0.90           0              -1.00          -9001.00       -1.00          9001           -1             9000           1.04e-04       1.04e+00       2.61e-07       
1              1.57e+01       9.89e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             18000          7.40e-05       2.43e-01       5.50e-07       
2              1.57e+01       9.77e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             27000          6.05e-05       1.46e-01       4.55e-07       
3              1.56e+01       9.66e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             36000          5.24e-05       7.51e-02       3.37e-07       
4              1.56e+01       9.55e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             45000          4.69e-05       6.91e-02       7.08e-07       
5              1.57e+01       9.44e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             54000          4.28e-05       4.30e-02       4.50e-07       
6              1.57e+01       9.33e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             63000          3.97e-05       3.13e-02       4.31e-07       
7              1.57e+01       9.22e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             72000          3.71e-05       2.44e-02       7.98e-07       
8              1.56e+01       9.12e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             81000          3.50e-05       2.03e-02       2.96e-07       
9              1.56e+01       9.01e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             90000          3.32e-05       1.71e-02       4.93e-07       
10             1.56e+01       8.91e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             99000          3.17e-05       2.81e-02       3.99e-07       
11             1.56e+01       8.81e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             108000         3.03e-05       1.72e-02       5.02e-07       
12             1.57e+01       8.71e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             117000         2.91e-05       1.47e-02       7.68e-07       
13             1.57e+01       8.61e-01       0.90           0              -1.00          -7585.00       -1.00          7585           1              124584         2.83e-05       4.02e-02       5.57e-07       
14             1.57e+01       8.51e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             133584         2.73e-05       4.14e-02       3.32e-07       
15             1.57e+01       8.41e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             142584         2.64e-05       7.71e-03       5.68e-07       
16             1.57e+01       8.31e-01       0.90           0              -1.00          -9001.00       -1.00          9001           -1             151584         2.56e-05       5.21e-02       3.52e-07       
17             1.57e+01       8.22e-01       0.90           1              -1.00          -9001.00       -1.00          9001           -1             160584         2.49e-05       1.86e-02       3.90e-07       
18             1.57e+01       8.12e-01       0.90           2              -1.00          -9001.00       -1.00          9001           -1             169584         2.42e-05       3.57e-02       2.76e-07       
